Treatment,sporozoite,mucin,usomp8,coadhesin,ca13,saarp2,saarp1,egf_lamg,calcification_rate
1053,1.05837986,0.989542735,1.357962321,0.946712607,1.242130472,0.957685984,0.97328053,0.844494247,0.97867562
1053,1.152954072,0.979123616,1.176155728,1.009721357,0.636643622,0.85592985,0.964461178,1.062720988,0.897327547
1053,1.188084363,1.067064826,1.277220605,0.965156003,0.555556153,1.063338822,1.058062006,1.005872075,0.913778553
1053,0.460150351,0.90696532,0.214399609,1.148044618,1.900107783,0.798604294,1.124532256,1.093236408,0.840667591
1053,1.140431355,1.057303503,0.974261737,0.930365414,0.665561971,1.32444105,0.87966403,0.993676282,1.369550688
561,1.238081222,1.039559186,0.962859893,0.909582724,0.617242271,0.702530408,1.031974299,1.27509006,0.729353395
561,1.106349878,1.06212742,1.008228745,0.939915481,1.250758232,1.160228854,1.013569963,1.343533846,1.146767955
561,1.170207802,1.038121593,0.997387777,0.958846586,0.800605682,0.828910671,1.133074487,1.139923904,0.796266552
561,0.48158899,0.999848005,1.03234516,1.044706242,1.255604993,1.018289743,0.835540775,1.071900081,0.890742234
561,1.003772108,0.860343796,0.999178425,1.146948967,1.075788822,1.290040324,0.985840476,0.169552109,1.436869864
356,1.037682154,0.967104727,1.009998497,1.034632964,1.189710853,1.243949706,0.930783644,0.970335683,0.890393327
356,1.04175611,1.022500499,0.897628177,0.870860031,1.213470729,0.935030738,0.949598516,0.913892234,0.374902454
356,0.969846538,1.039955864,1.006284572,0.965753847,0.830999542,1.034026242,1.009592222,0.940595851,1.334027899
356,1.105834142,0.984207657,0.823476164,1.121084491,1.184972206,0.984359352,0.996951032,1.096037025,0.392040851
356,0.844881056,0.986231254,1.262612589,1.007668667,0.58084667,0.802633962,1.113074585,1.079139207,2.008635469
714,1.130477949,1.021157243,0.987184396,0.9877802,1.462305481,1.124833144,1.027003457,0.929003886,0.485272381
714,0.46539013,1.046695903,1.106246911,0.952075172,1.249211989,0.852649089,0.944631948,0.95927529,1.65782048
714,1.017423153,0.860555042,0.874006556,1.006956461,0.299073811,0.867415376,1.019946963,1.135975551,0.992081547
714,1.237005939,1.065065721,0.958350355,1.018602415,0.988365668,1.09143704,1.11524755,1.003439414,0.695997491
714,1.149702829,1.006526091,1.074211781,1.034585752,1.00104305,1.063665351,0.893170082,0.972305859,1.168828101